result_file,Configuration Name,mode_top2.QOS_CONFIG:4,mode_top2.DDR0_ECC_EN:1,mode_task_0.ENABLE:1,mode_task_1.ENABLE:1,mode_task_2.ENABLE:1,mode_task_3.ENABLE:1,mode_task_4.ENABLE:1,mode_task_5.ENABLE:1,mode_task_6.ENABLE:1,mode_task_7.ENABLE:1,mode_task_8.ENABLE:1,mode_task_9.ENABLE:1,mode_task_0.TASK_ID:6,mode_task_1.TASK_ID:6,mode_task_2.TASK_ID:6,mode_task_3.TASK_ID:6,mode_task_4.TASK_ID:6,mode_task_5.TASK_ID:6,mode_task_6.TASK_ID:6,mode_task_7.TASK_ID:6,mode_task_8.TASK_ID:6,mode_task_9.TASK_ID:6,mode_task_0.TASK_INST:2,mode_task_1.TASK_INST:2,mode_task_2.TASK_INST:2,mode_task_3.TASK_INST:2,mode_task_4.TASK_INST:2,mode_task_5.TASK_INST:2,mode_task_6.TASK_INST:2,mode_task_7.TASK_INST:2,mode_task_8.TASK_INST:2,mode_task_9.TASK_INST:2,mode_task_user_0.ACCEL_LOAD_TYPE:4,mode_task_user_1.ACCEL_LOAD_TYPE:4,mode_task_user_2.ACCEL_LOAD_TYPE:4,mode_task_user_3.ACCEL_LOAD_TYPE:4,mode_task_user_4.ACCEL_LOAD_TYPE:4,mode_task_user_5.ACCEL_LOAD_TYPE:4,mode_task_user_6.ACCEL_LOAD_TYPE:4,mode_task_user_7.ACCEL_LOAD_TYPE:4,mode_task_user_8.ACCEL_LOAD_TYPE:4,mode_task_user_9.ACCEL_LOAD_TYPE:4,mode_ch_0_0.ENABLE:1,mode_ch_1_0.ENABLE:1,mode_ch_2_0.ENABLE:1,mode_ch_3_0.ENABLE:1,mode_ch_4_0.ENABLE:1,mode_ch_5_0.ENABLE:1,mode_ch_6_0.ENABLE:1,mode_ch_7_0.ENABLE:1,mode_ch_8_0.ENABLE:1,mode_ch_9_0.ENABLE:1,mode_ch_0_0.SRC_MEM:6,mode_ch_1_0.SRC_MEM:6,mode_ch_2_0.SRC_MEM:6,mode_ch_3_0.SRC_MEM:6,mode_ch_4_0.SRC_MEM:6,mode_ch_5_0.SRC_MEM:6,mode_ch_6_0.SRC_MEM:6,mode_ch_7_0.SRC_MEM:6,mode_ch_8_0.SRC_MEM:6,mode_ch_9_0.SRC_MEM:6,mode_ch_0_0.DEST_MEM:6,mode_ch_1_0.DEST_MEM:6,mode_ch_2_0.DEST_MEM:6,mode_ch_3_0.DEST_MEM:6,mode_ch_4_0.DEST_MEM:6,mode_ch_5_0.DEST_MEM:6,mode_ch_6_0.DEST_MEM:6,mode_ch_7_0.DEST_MEM:6,mode_ch_8_0.DEST_MEM:6,mode_ch_9_0.DEST_MEM:6,mode_ch_0_0.BURST_SIZE:8,mode_ch_1_0.BURST_SIZE:8,mode_ch_2_0.BURST_SIZE:8,mode_ch_3_0.BURST_SIZE:8,mode_ch_4_0.BURST_SIZE:8,mode_ch_5_0.BURST_SIZE:8,mode_ch_6_0.BURST_SIZE:8,mode_ch_7_0.BURST_SIZE:8,mode_ch_8_0.BURST_SIZE:8,mode_ch_9_0.BURST_SIZE:8,mode_ch_user_0_0.SR_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_1_0.SR_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_2_0.SR_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_3_0.SR_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_4_0.SR_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_5_0.SR_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_6_0.SR_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_7_0.SR_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_8_0.SR_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_9_0.SR_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_0_0.DES_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_1_0.DES_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_2_0.DES_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_3_0.DES_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_4_0.DES_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_5_0.DES_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_6_0.DES_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_7_0.DES_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_8_0.DES_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_9_0.DES_MEM_ADDR_ROLLBACK_EN:1,mode_ch_user_0_0.BURST_MULTIPLIER:14,mode_ch_user_1_0.BURST_MULTIPLIER:14,mode_ch_user_2_0.BURST_MULTIPLIER:14,mode_ch_user_3_0.BURST_MULTIPLIER:14,mode_ch_user_4_0.BURST_MULTIPLIER:14,mode_ch_user_5_0.BURST_MULTIPLIER:14,mode_ch_user_6_0.BURST_MULTIPLIER:14,mode_ch_user_7_0.BURST_MULTIPLIER:14,mode_ch_user_8_0.BURST_MULTIPLIER:14,mode_ch_user_9_0.BURST_MULTIPLIER:14,data_size_0_0.BYTES,data_size_1_0.BYTES,data_size_2_0.BYTES,data_size_3_0.BYTES,data_size_4_0.BYTES,data_size_5_0.BYTES,data_size_6_0.BYTES,data_size_7_0.BYTES,data_size_8_0.BYTES,data_size_9_0.BYTES,time_target_0_0.MICROSEC,time_target_1_0.MICROSEC,time_target_2_0.MICROSEC,time_target_3_0.MICROSEC,time_target_4_0.MICROSEC,time_target_5_0.MICROSEC,time_target_6_0.MICROSEC,time_target_7_0.MICROSEC,time_target_8_0.MICROSEC,time_target_9_0.MICROSEC,TASK_Throughput_0,TASK_Throughput_1,TASK_Throughput_2,TASK_Throughput_3,TASK_Throughput_4,TASK_Throughput_5,TASK_Throughput_6,TASK_Throughput_7,TASK_Throughput_8,TASK_Throughput_9,Test Status
S32G398_Rev1_0_res_02C10_tst01_Ver01_ddrc_allCores_SRAM_2022_02_02,01_A53.M7.-DRAMC-cp,2,1,1,1,1,1,1,1,1,1,1,1,10,10,10,11,11,11,11,9,9,9,1,2,3,0,1,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,128,128,128,128,128,128,128,128,128,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4095,4095,4095,4095,4095,4095,4095,255,255,255,10485760,10485760,10485760,8388608,8388608,8388608,8388608,2752512,2752512,2752512,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,267.5,267.48,267.5,222.45,222.43,222.43,222.52,62.58,62.3,62.4,Pass
S32G398_Rev1_0_res_02C10_tst01_Ver01_ddrc_allCores_SRAM_2022_02_02,01_A53.M7.-DRAMC-cp,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,11,11,11,11,9,9,9,1,2,3,0,1,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,128,128,128,128,128,128,128,128,128,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4095,4095,4095,4095,4095,4095,4095,255,255,255,10485760,10485760,10485760,8388608,8388608,8388608,8388608,2752512,2752512,2752512,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,267.75,267.74,267.75,222.65,222.57,222.6,222.69,62.36,62.37,62.61,Pass
S32G398_Rev1_0_res_02C10_tst01_Ver01_ddrc_allCores_SRAM_2022_02_02,01_A53.M7.-DRAMC-cp,2,0,1,1,1,1,1,1,1,1,1,1,10,10,10,11,11,11,11,9,9,9,1,2,3,0,1,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,128,128,128,128,128,128,128,128,128,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4095,4095,4095,4095,4095,4095,4095,255,255,255,10485760,10485760,10485760,8388608,8388608,8388608,8388608,2752512,2752512,2752512,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,459.76,459.3,459.04,388.79,388.29,387.38,387.7,95.36,96.09,95.96,Pass
S32G398_Rev1_0_res_02C10_tst01_Ver01_ddrc_allCores_SRAM_2022_02_02,01_A53.M7.-DRAMC-cp,1,0,1,1,1,1,1,1,1,1,1,1,10,10,10,11,11,11,11,9,9,9,1,2,3,0,1,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,128,128,128,128,128,128,128,128,128,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4095,4095,4095,4095,4095,4095,4095,255,255,255,10485760,10485760,10485760,8388608,8388608,8388608,8388608,2752512,2752512,2752512,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,460.29,460.14,459.7,388.6,388.36,387.43,387.98,95.65,95.76,96.2,Pass
S32G398_Rev1_0_res_02C10_tst01_Ver01_ddrc_allCores_SRAM_2022_02_02,02_A53.M7.-DRAMC-wr,2,1,1,1,1,1,1,1,1,1,1,1,10,10,10,11,11,11,11,9,9,9,1,2,3,0,1,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,128,128,128,128,128,128,128,128,128,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4095,4095,4095,4095,4095,4095,4095,255,255,255,8388608,8388608,8388608,8388608,8388608,8388608,8388608,8388608,8388608,8388608,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,383.25,381.8,383.48,357.34,355.62,355.68,357.48,420.44,420.38,420.44,Pass
S32G398_Rev1_0_res_02C10_tst01_Ver01_ddrc_allCores_SRAM_2022_02_02,02_A53.M7.-DRAMC-wr,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,11,11,11,11,9,9,9,1,2,3,0,1,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,128,128,128,128,128,128,128,128,128,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4095,4095,4095,4095,4095,4095,4095,255,255,255,8388608,8388608,8388608,8388608,8388608,8388608,8388608,8388608,8388608,8388608,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,382.67,381.14,382.64,356.9,355.13,355.15,356.98,419.87,419.83,419.91,Pass
S32G398_Rev1_0_res_02C10_tst01_Ver01_ddrc_allCores_SRAM_2022_02_02,02_A53.M7.-DRAMC-wr,2,0,1,1,1,1,1,1,1,1,1,1,10,10,10,11,11,11,11,9,9,9,1,2,3,0,1,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,128,128,128,128,128,128,128,128,128,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4095,4095,4095,4095,4095,4095,4095,255,255,255,8388608,8388608,8388608,8388608,8388608,8388608,8388608,8388608,8388608,8388608,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,780.77,774.5,780.41,676.83,670.39,670.5,676.61,695.69,695.63,695.69,Pass
S32G398_Rev1_0_res_02C10_tst01_Ver01_ddrc_allCores_SRAM_2022_02_02,02_A53.M7.-DRAMC-wr,1,0,1,1,1,1,1,1,1,1,1,1,10,10,10,11,11,11,11,9,9,9,1,2,3,0,1,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,128,128,128,128,128,128,128,128,128,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4095,4095,4095,4095,4095,4095,4095,255,255,255,8388608,8388608,8388608,8388608,8388608,8388608,8388608,8388608,8388608,8388608,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,788.55,781.72,788.25,681.83,675.36,675.25,682,696.61,696.61,696.67,Pass
S32G398_Rev1_0_res_02C10_tst01_Ver01_ddrc_allCores_SRAM_2022_02_02,03_A53.M7.-DRAMC-rd,2,1,1,1,1,1,1,1,1,1,1,1,10,10,10,11,11,11,11,9,9,9,1,2,3,0,1,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,128,128,128,128,128,128,128,128,128,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4095,4095,4095,4095,4095,4095,4095,255,255,255,8388608,8388608,8388608,8388608,8388608,8388608,8388608,1835008,1835008,1835008,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,828.91,829.16,825.65,831.05,831.96,828.5,831.79,126.28,126.46,126.75,Pass
S32G398_Rev1_0_res_02C10_tst01_Ver01_ddrc_allCores_SRAM_2022_02_02,03_A53.M7.-DRAMC-rd,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,11,11,11,11,9,9,9,1,2,3,0,1,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,128,128,128,128,128,128,128,128,128,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4095,4095,4095,4095,4095,4095,4095,255,255,255,8388608,8388608,8388608,8388608,8388608,8388608,8388608,1835008,1835008,1835008,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,828.42,829.24,828.75,829.73,829.57,829.73,830.31,126.11,126.23,126.58,Pass
